,Compound,Date,Negative,Neutral,Positive,Tweets Ago,Source
0,0.4019,Sun Mar 11 02:07:01 +0000 2018,0.838,0.0,0.162,1,BBC
1,0.6783,Sat Mar 10 20:43:01 +0000 2018,0.828,0.0,0.172,2,BBC
2,-0.4019,Sat Mar 10 20:41:35 +0000 2018,0.863,0.137,0.0,3,BBC
3,0.4588,Sat Mar 10 20:40:14 +0000 2018,0.842,0.0,0.158,4,BBC
4,0.4605,Sat Mar 10 20:28:00 +0000 2018,0.552,0.155,0.293,5,BBC
5,0.6588,Sat Mar 10 20:27:17 +0000 2018,0.785,0.0,0.215,6,BBC
6,0.4106,Sat Mar 10 20:25:58 +0000 2018,0.82,0.0,0.18,7,BBC
7,-0.8316,Sat Mar 10 20:24:22 +0000 2018,0.719,0.281,0.0,8,BBC
8,0.5267,Sat Mar 10 20:24:07 +0000 2018,0.815,0.0,0.185,9,BBC
9,0.0,Sat Mar 10 18:11:11 +0000 2018,1.0,0.0,0.0,10,BBC
10,0.0,Sat Mar 10 18:10:57 +0000 2018,1.0,0.0,0.0,11,BBC
11,0.0,Sat Mar 10 18:00:13 +0000 2018,1.0,0.0,0.0,12,BBC
12,0.0,Sat Mar 10 17:00:18 +0000 2018,1.0,0.0,0.0,13,BBC
13,-0.7783,Sat Mar 10 16:30:07 +0000 2018,0.37,0.63,0.0,14,BBC
14,0.8805,Sat Mar 10 15:59:11 +0000 2018,0.596,0.0,0.404,15,BBC
15,-0.5411,Sat Mar 10 15:53:39 +0000 2018,0.873,0.127,0.0,16,BBC
16,0.1511,Sat Mar 10 15:32:03 +0000 2018,0.91,0.0,0.09,17,BBC
17,-0.3818,Sat Mar 10 15:00:05 +0000 2018,0.89,0.11,0.0,18,BBC
18,0.0,Sat Mar 10 14:00:08 +0000 2018,1.0,0.0,0.0,19,BBC
19,-0.5859,Sat Mar 10 13:14:03 +0000 2018,0.769,0.231,0.0,20,BBC
20,-0.4588,Sat Mar 10 13:00:04 +0000 2018,0.25,0.75,0.0,21,BBC
21,0.4926,Sat Mar 10 13:00:03 +0000 2018,0.653,0.0,0.347,22,BBC
22,0.3724,Sat Mar 10 13:00:03 +0000 2018,0.758,0.0,0.242,23,BBC
23,-0.5859,Sat Mar 10 13:00:03 +0000 2018,0.667,0.26,0.073,24,BBC
24,0.0,Sat Mar 10 12:00:04 +0000 2018,1.0,0.0,0.0,25,BBC
25,-0.3284,Sat Mar 10 11:59:24 +0000 2018,0.79,0.147,0.063,26,BBC
26,-0.3256,Sat Mar 10 11:58:56 +0000 2018,0.727,0.175,0.098,27,BBC
27,0.0,Sat Mar 10 11:46:40 +0000 2018,1.0,0.0,0.0,28,BBC
28,0.0,Sat Mar 10 11:44:35 +0000 2018,1.0,0.0,0.0,29,BBC
29,0.0,Sat Mar 10 11:43:36 +0000 2018,1.0,0.0,0.0,30,BBC
30,0.5719,Sat Mar 10 11:43:31 +0000 2018,0.821,0.0,0.179,31,BBC
31,0.8356,Sat Mar 10 11:43:23 +0000 2018,0.655,0.0,0.345,32,BBC
32,-0.3818,Sat Mar 10 10:56:03 +0000 2018,0.867,0.133,0.0,33,BBC
33,0.0,Sat Mar 10 10:00:03 +0000 2018,1.0,0.0,0.0,34,BBC
34,0.4173,Sat Mar 10 09:00:06 +0000 2018,0.888,0.0,0.112,35,BBC
35,0.4404,Sat Mar 10 07:59:00 +0000 2018,0.756,0.0,0.244,36,BBC
36,0.0,Fri Mar 09 19:03:04 +0000 2018,1.0,0.0,0.0,37,BBC
37,0.5719,Fri Mar 09 18:00:10 +0000 2018,0.764,0.0,0.236,38,BBC
38,0.0,Fri Mar 09 17:18:55 +0000 2018,1.0,0.0,0.0,39,BBC
39,0.4939,Fri Mar 09 17:00:10 +0000 2018,0.656,0.0,0.344,40,BBC
40,0.3818,Fri Mar 09 16:56:32 +0000 2018,0.874,0.0,0.126,41,BBC
41,0.5848,Fri Mar 09 16:56:13 +0000 2018,0.807,0.0,0.193,42,BBC
42,0.0,Fri Mar 09 16:53:47 +0000 2018,1.0,0.0,0.0,43,BBC
43,0.0,Fri Mar 09 16:39:50 +0000 2018,1.0,0.0,0.0,44,BBC
44,0.4939,Fri Mar 09 14:30:07 +0000 2018,0.842,0.0,0.158,45,BBC
45,-0.4404,Fri Mar 09 14:00:18 +0000 2018,0.822,0.178,0.0,46,BBC
46,0.7783,Fri Mar 09 13:30:05 +0000 2018,0.672,0.0,0.328,47,BBC
47,0.0,Fri Mar 09 12:30:02 +0000 2018,1.0,0.0,0.0,48,BBC
48,0.0,Fri Mar 09 12:13:43 +0000 2018,1.0,0.0,0.0,49,BBC
49,0.5719,Fri Mar 09 11:51:14 +0000 2018,0.684,0.0,0.316,50,BBC
50,0.6114,Fri Mar 09 11:36:57 +0000 2018,0.637,0.0,0.363,51,BBC
51,0.5859,Fri Mar 09 11:03:23 +0000 2018,0.863,0.0,0.137,52,BBC
52,0.0,Fri Mar 09 11:00:05 +0000 2018,1.0,0.0,0.0,53,BBC
53,0.0,Fri Mar 09 10:15:05 +0000 2018,1.0,0.0,0.0,54,BBC
54,0.4389,Fri Mar 09 09:00:04 +0000 2018,0.806,0.0,0.194,55,BBC
55,0.0,Fri Mar 09 08:30:08 +0000 2018,1.0,0.0,0.0,56,BBC
56,0.4404,Fri Mar 09 08:00:05 +0000 2018,0.734,0.0,0.266,57,BBC
57,0.0,Thu Mar 08 21:28:00 +0000 2018,1.0,0.0,0.0,58,BBC
58,0.4019,Thu Mar 08 20:33:04 +0000 2018,0.856,0.0,0.144,59,BBC
59,0.0,Thu Mar 08 20:03:04 +0000 2018,1.0,0.0,0.0,60,BBC
60,0.0,Thu Mar 08 18:00:06 +0000 2018,1.0,0.0,0.0,61,BBC
61,-0.1027,Thu Mar 08 17:30:11 +0000 2018,0.664,0.177,0.159,62,BBC
62,0.0,Thu Mar 08 17:00:09 +0000 2018,1.0,0.0,0.0,63,BBC
63,0.5719,Thu Mar 08 16:30:05 +0000 2018,0.764,0.0,0.236,64,BBC
64,0.5803,Thu Mar 08 16:05:42 +0000 2018,0.819,0.0,0.181,65,BBC
65,0.0,Thu Mar 08 15:30:09 +0000 2018,1.0,0.0,0.0,66,BBC
66,0.0,Thu Mar 08 15:09:13 +0000 2018,1.0,0.0,0.0,67,BBC
67,0.0,Thu Mar 08 15:00:05 +0000 2018,1.0,0.0,0.0,68,BBC
68,-0.4588,Thu Mar 08 14:30:02 +0000 2018,0.857,0.143,0.0,69,BBC
69,0.0,Thu Mar 08 13:30:05 +0000 2018,1.0,0.0,0.0,70,BBC
70,0.0,Thu Mar 08 13:09:22 +0000 2018,1.0,0.0,0.0,71,BBC
71,-0.5994,Thu Mar 08 13:02:03 +0000 2018,0.855,0.145,0.0,72,BBC
72,0.0,Thu Mar 08 13:00:08 +0000 2018,1.0,0.0,0.0,73,BBC
